,name,Hobza_1,Hobza_2,Martin_newBronze,Martin_Silver,Martin_Gold,Martin_PCCP2022,14k-Gold
1,01 Water-Water,-4.92,-5.01,-4.915,-4.982,-4.979,-4.946,-4.991
2,02 Water-MeOH,-5.59,-5.7,-5.589,-5.666,-5.666,-5.627,-5.674
3,03 Water-MeNH2,-6.91,-7.04,-6.894,-6.986,-6.985,-6.941,-6.996
4,04 Water-Peptide,-8.1,-8.22,-8.089,-8.183,,-8.128,-8.191
5,05 MeOH-MeOH,-5.76,-5.85,-5.773,-5.822,-5.824,-5.804,-5.827
6,06 MeOH-MeNH2,-7.55,-7.67,-7.558,-7.617,-7.625,-7.601,-7.625
7,07 MeOH-Peptide,-8.23,-8.34,-8.255,-8.307,,-8.289,-8.313
8,08 MeOH-Water,-5.01,-5.09,-5.023,-5.064,-5.065,-5.045,-5.071
9,09 MeNH2-MeOH,-3.06,-3.11,-3.029,-3.087,-3.088,-3.037,-3.091
10,10 MeNH2-MeNH2,-4.16,-4.22,-4.127,-4.184,-4.189,-4.153,-4.189
11,11 MeNH2-Peptide,-5.42,-5.48,-5.387,-5.436,,-5.397,-5.442
12,12 MeNH2-Water,-7.27,-7.4,-7.259,-7.349,-7.354,-7.312,-7.36
13,13 Peptide-MeOH,-6.19,-6.28,-6.213,-6.251,,-6.22,-6.25
14,14 Peptide-MeNH2,-7.45,-7.56,-7.478,-7.516,,-7.5,-7.518
15,15 Peptide-Peptide,-8.63,-8.72,-8.673,-8.689,,-8.659,-8.688
16,16 Peptide-Water,-5.12,-5.2,-5.146,-5.18,,-5.15,-5.178
17,17 Uracil-Uracil BP,-17.18,-17.45,-17.432,-17.407,,-17.405,-17.403
18,18 Water-Pyridine,-6.86,-6.97,-6.872,-6.927,,-6.879,-6.929
19,19 MeOH-Pyridine,-7.41,-7.51,-7.451,-7.467,-7.464,-7.448,-7.465
20,20 AcOH-AcOH,-19.09,-19.41,-19.328,-19.361,-19.364,-19.397,-19.383
21,21 AcNH2-AcNH2,-16.26,-16.52,-16.441,-16.474,-16.468,-16.472,-16.485
22,22 AcOH-Uracil,-19.49,-19.78,-19.732,-19.736,,-19.759,-19.748
23,23 AcNH2-Uracil,-19.19,-19.47,-19.419,-19.42,,-19.432,-19.424
24,24 Benzene-Benzene pi-pi,-2.82,-2.72,-2.634,-2.685,,-2.521,-2.686
25,25 Pyridine-Pyridine pi-pi,-3.9,-3.8,-3.716,-3.751,,-3.61,-3.76
26,26 Uracil-Uracil pi-pi,-9.83,-9.75,-9.765,-9.672,,-9.619,-9.716
27,27 Benzene-Pyridine pi-pi,-3.44,-3.34,-3.265,-3.3,,-3.156,-3.304
28,28 Benzene-Uracil pi-pi,-5.71,-5.59,-5.588,-5.517,,-5.465,-5.545
29,29 Pyridine-Uracil pi-pi,-6.82,-6.7,-6.698,-6.629,,-6.576,-6.661
30,30 Benzene-Ethene,-1.43,-1.36,-1.31,-1.358,-1.348,-1.269,-1.343
31,31 Uracil-Ethene,-3.38,-3.33,-3.3,-3.291,,-3.257,-3.306
32,32 Uracil-Ethyne,-3.74,-3.69,-3.649,-3.651,,-3.587,-3.675
33,33 Pyridine-Ethene,-1.87,-1.8,-1.764,-1.779,-1.79,-1.721,-1.784
34,34 Pentane-Pentane,-3.78,-3.76,-3.734,-3.741,,-3.723,-3.733
35,35 Neopentane-Pentane,-2.61,-2.6,-2.59,-2.582,,-2.58,-2.583
36,36 Neopentane-Neopentane,-1.78,-1.76,-1.753,-1.745,,-1.742,-1.75
37,37 Cyclopentane-Neopentane,-2.4,-2.4,-2.384,-2.376,,-2.373,-2.375
38,38 Cyclopentane-Cyclopentane,-3.0,-2.99,-2.971,-2.967,,-2.956,-2.957
39,39 Benzene-Cyclopentane,-3.58,-3.51,-3.496,-3.488,,-3.438,-3.482
40,40 Benzene-Neopentane,-2.9,-2.85,-2.839,-2.824,,-2.791,-2.823
41,41 Uracil-Pentane,-4.85,-4.81,-4.792,-4.761,,-4.724,-4.768
42,42 Uracil-Cyclopentane,-4.14,-4.09,-4.094,-4.052,,-4.019,-4.055
43,43 Uracil-Neopentane,-3.71,-3.69,-3.678,-3.652,,-3.613,-3.66
44,44 Ethene-Pentane,-2.01,-1.99,-1.948,-1.973,,-1.943,-1.976
45,45 Ethyne-Pentane,-1.75,-1.72,-1.669,-1.696,,-1.646,-1.704
46,46 Peptide-Pentane,-4.26,-4.26,-4.195,-4.215,,-4.162,-4.216
47,47 Benzene-Benzene TS,-2.88,-2.83,-2.823,-2.801,,-2.762,-2.806
48,48 Pyridine-Pyridine TS,-3.83,-3.51,-3.492,-3.472,,-3.44,-3.477
49,49 Benzene-Pyridine TS,-3.33,-3.29,-3.28,-3.26,,-3.226,-3.267
50,50 Benzene-Ethyne CH-pi,-2.87,-2.86,-2.822,-2.828,-2.839,-2.81,-2.836
51,51 Ethyne-Ethyne TS,-1.52,-1.54,-1.506,-1.519,-1.526,-1.489,-1.528
52,52 Benzene-AcOH OH-pi,-4.71,-4.73,-4.661,-4.691,,-4.655,-4.691
53,53 Benzene-AcNH2 NH-pi,-4.36,-4.4,-4.346,-4.376,,-4.334,-4.375
54,54 Benzene-Water OH-pi,-3.28,-3.29,-3.212,-3.267,,-3.224,-3.263
55,55 Benzene-MeOH OH-pi,-4.19,-4.17,-4.106,-4.139,,-4.106,-4.137
56,56 Benzene-MeNH2 NH-pi,-3.23,-3.2,-3.153,-3.174,,-3.139,-3.171
57,57 Benzene-Peptide NH-pi,-5.28,-5.26,-5.22,-5.222,,-5.176,-5.219
58,58 Pyridine-Pyridine CH-N,-4.15,-4.24,-4.194,-4.189,,-4.166,-4.193
59,59 Ethyne-Water CH-O,-2.85,-2.93,-2.883,-2.905,-2.912,-2.899,-2.913
60,60 Ethyne-AcOH OH-pi,-4.87,-4.97,-4.863,-4.917,-4.925,-4.854,-4.933
61,61 Pentane-AcOH,-2.91,-2.91,-2.839,-2.876,,-2.82,-2.879
62,62 Pentane-AcNH2,-3.53,-3.53,-3.458,-3.491,,-3.437,-3.495
63,63 Benzene-AcOH,-3.8,-3.75,-3.715,-3.709,,-3.671,-3.716
64,64 Peptide-Ethene,-3.0,-3.0,-2.945,-2.967,,-2.928,-2.977
65,65 Pyridine-Ethyne,-3.99,-4.1,-4.065,-4.064,,-4.066,-4.071
66,66 MeNH2-Pyridine,-3.97,-3.97,-3.907,-3.93,,-3.893,-3.931
